sentence, language, transliteration, translation, sentiment
Jami Lidhu, gu, જમી લીધું, Ate up, positive
College Gayo To Aaje, gu, કોલ્લેગે ગયો તો આજે, If you go to college today, neutral
Exam Kyare Che, gu, એક્ષામ ક્યારે છે, When is the exam, neutral
kaha jaana hai , hi, कहा जाना है, Where to go, neutral
tula kay farak padto, mr, तुला काय फरक पडतो, what does it matter to you, negative
kay kartoy, mr, काय करतोय, what are you doing, neutral
mane madad ni jaroor che, gu, મને મદદ ની જરૂર ચે, I need help, neutral
garaj nay lagat re, mr, गरज नाय लागत रे, No need, positive
ketla paisa chhe, gu, કેટલા પૈસા છે, how much money, neutral
khup vela nantar ala re, mr, खूप वेळ नंतर आला रे, It came after a long time, neutral
Kya Jaay Che Tu, gu, ક્યાં જાય છે તું, Where are you going, positive
Kem Che, gu, કેમ છે, How are you, positive
kal sutti hoti ka, mr, काल सुट्टी होती का, Was it holiday yesterday, neutral
tu asa kase karu shakat, mr, तू असा कसे काय करू शकत, How can you do this, neutral
tula itka rag ka ala, mr, तुला इतका राग का आला, Why did you get so angry, negative
mazhyasobat khote bolu nako, mr, माझ्यासोबत खोटे बोलू नको, Don't lie to me, negative
ajun sanga, mr, अजून सांगा, Tell me more, neutral
pagal ahes ka, mr, पागल आहेस का, Are you mad, negative
mazhya barobar chala, mr, माझ्याबरोबर चला, come with me, positive
voh der se ata hai, hi, वो देर से आता है, he comes late, neutral
kaam kar raha hu, hi, काम कर रहा हु, I am working, positive
so raha hu, hi, सो रहा हु, am sleeping, neutral
batata hu me tereko , hi, बताता हु मै तेरे को, I will tell you, positive
ghar me hu, hi, घर मे हु, I am at home, neutral
tere pass hoga toh bhejna, hi, तेरे पास होगा तो भेजना, If you have it then send it, positive
Tumhe ye kisne bataya, hi, तुम्हें ये किसने बताया, Who told you this, neutral
Is waqt vo khana kha rahi hogi, hi, इस वक्त वो खाना खा रही होगी, She will be eating the food right now, positive
Aap English bolna kab shuru karoge, hi, आप इंग्लिश बोलना कब शुरू करोगे, When will you start to speak English, neutral
Hu College Nthi aavano hu Baare Jaavu Chu, gu, હુ કોલેજ નથી આવનો હુ બારે જાવુ છુ, I am not going to college I am going to a bar, neutral
Biju Su Kaai Che Bhai, gu, બીજ સુ કાઈ ચે ભાઈ, Bij Su Kai Che Bhai, neutral
Darshan Saaambhad Ne Shubham Ne Phone Kari Ne Kaii De !, gu, દર્શન સાંભડ ને શુભમ ને ફોન કરી ને કઈ દે !, Shubham called Darshan Sambhad and what did he give!, neutral
Exam Pachi Marines Jaavanu Plan Banavaye, gu, પરીક્ષા પચી મરિન જવાનુ યોજના બનાવયે, Let's make a plan to go to Marine after passing the exam, positive
Mne Oli Company Laagi Gayi In-Campus Ma, gu, મને ઓલી કંપની લગી ગઈ ઇન-કેમ્પસ મા, I got Oli company in-campus, positive
Tu nathi Besto In-Campus Placemnets Maate ?, gu, તું નાથી બેસ્ટો ઇન-કેમ્પસ પ્લેસમેનેટ્સ માતે?, Not good for in-campus placements?, negative
Hu Canteen Ma Baitho Chu ! Aavi Jaa Jaldi !, gu, હુ કેન્ટીન મા બેથો ચુ ! આવી જા જલદી!, I sit in the canteen! Come soon!, Neutral
Mne Assignment Mokli Deje Aaje, gu, મને સોંપણી મોકલી દેજે આજે, Send me the assignment today, neutral
muze der lagega re, hi, मुझे देर लगेगा रे, I will be late, neutral
udya lectures ahet ka, mr, उद्या लेकचर आहेत का, Are there lectures tomorrow?, neutral
tame kem chho ?, gu, તમે કેમ છો ?, how are you, positive
Aaj khup zop aali aahe, mr, आज खूप झोप आले रे, I am feeling sleepy today, neutral
